Track Name,Artist(s) Name,Artist Count,Released Year,Released Month,Spotify Playlists Ranking,Spotify Charts Ranking,Spotify Streams,Apple Playlists Ranking,Apple Charts Ranking,Deezer Playlists Ranking,Deezer Charts Ranking,BPM,Key,Deezer Genre
Like Crazy (English Version),Jimin,1,2023,3,373,19,173627354,4,72,5,0,120,G,Asian Music
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,200,4,90025258,8,77,2,1,123,G,Pop
Sunroof,"Nicky Youre, Dazy",2,2021,12,3741,17,652704649,156,35,110,19,131,A#,Pop
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,32502,21,1829992958,247,54,5567,1,171,D,Rap/Hip Hop
Superman,"Eminem, Dina Rae",2,2002,5,7615,14,655466831,18,51,1005,0,130,E,Rap/Hip Hop
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,1208,34,146409671,10,41,20,0,94,B,Reggaeton
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,209,4,95816024,4,45,11,2,89,G,Asian Music
REMIX EXCLUSIVO,Feid,1,2023,3,1235,9,117206995,20,8,15,0,87,F,Rap/Hip Hop
DOGTOOTH,"Tyler, The Creator",2,2023,3,1479,0,80758350,23,0,18,0,78,G#,Rap/Hip Hop
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,4942,26,325592432,190,104,147,18,120,G#,Dance
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,709,0,58473276,8,1,13,0,96,F#,Pop
HAPPY,NF,1,2023,3,660,0,52722996,22,7,11,0,106,G,Rap/Hip Hop
La Bebe,Yng Lvcas,1,2021,12,489,17,191945597,4,11,5,1,170,D,Latin Music
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,407,0,77377503,16,15,5,0,134,B,Dance
Late Night Talking,Harry Styles,1,2022,5,7461,8,743693613,166,42,199,16,115,A#,Pop
Something in the Orange,Zach Bryan,1,2022,4,3282,12,449701773,67,84,46,16,110,G,Country
VOID,Melanie Martinez,1,2023,3,596,0,67070410,29,9,12,0,100,A,Alternative
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,320,6,116334601,5,48,2,1,142,G,Traditional Mexicano
If We Ever Broke Up,Mae Stephens,1,2023,2,2040,4,165584767,81,27,66,9,116,G,Pop
You Proof,Morgan Wallen,1,2022,5,2128,9,367814306,37,88,9,0,120,A,Country
LA INOCENTE,"Feid, Mora",2,2022,4,2598,37,477033549,28,57,43,8,92,F,Latin Music
Malas Decisiones,Kenia OS,1,2022,10,542,2,156214700,23,2,21,0,110,G#,Pop
Murder In My Mind,Kordhell,1,2022,1,2459,20,448843705,20,68,50,0,120,A#,Electro
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,2418,26,294352144,52,66,55,1,115,F,Rap/Hip Hop
I Love You So,The Walters,1,2014,11,7536,7,972164968,44,19,135,0,76,A#,Alternative
Dark Red,Steve Lacy,1,2017,2,10431,7,920045682,71,53,181,0,172,F#,R&B
Say You Won't Let Go,James Arthur,1,2016,9,15722,16,2420461338,231,37,1509,0,99,A#,Pop
Heart To Heart,Mac DeMarco,1,2019,5,1640,0,244658767,27,27,29,1,150,G#,Alternative
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,34,0,68216992,0,0,0,0,92,A#,Latin Music
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,1845,16,223582566,20,8,30,2,95,C#,Reggaeton
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,3301,30,471819764,72,64,64,6,102,B,Rap/Hip Hop
Numb,Linkin Park,1,2003,3,20111,5,1361425037,39,0,7341,0,110,A,Dance
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,615,2,116599790,22,82,8,0,94,B,Asian Music
One Thing At A Time,Morgan Wallen,1,2022,12,811,4,148469433,11,58,5,0,142,G,Country
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5730,10,497225336,108,16,197,3,145,F#,Dance
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,1190,0,105062254,29,3,18,0,137,C#,Rap/Hip Hop
Everything I Love,Morgan Wallen,1,2023,1,579,0,95623148,11,54,0,0,104,G#,Country
Heaven,Niall Horan,1,2023,2,1553,2,144584800,61,6,48,0,92,F,Dance
LET GO,Central Cee,1,2022,12,2301,20,298063749,49,23,110,0,146,D,Rap/Hip Hop
Sial,Mahalini,1,2023,1,134,4,166570053,4,6,0,0,120,D,Asian Music
I Wrote The Book,Morgan Wallen,1,2023,1,430,0,83021468,15,17,0,0,144,D,Country
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,86,0,139836056,11,101,0,0,94,A,Films/Games
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,1168,0,81419389,45,11,20,0,98,C#,Rap/Hip Hop
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,162,6,156777415,1,10,1,0,140,B,R&B
Nobody Gets Me,SZA,1,2022,12,2536,6,284908316,59,100,58,13,100,G,R&B
PERO Tï¿,"Karol G, Quevedo",2,2023,2,387,11,93438910,11,15,14,3,140,F#,Rap/Hip Hop
Hype Boy,NewJeans,1,2022,8,892,17,363472647,20,119,12,2,100,E,Asian Music
Bloody Mary,Lady Gaga,1,2011,1,3909,0,372476382,66,26,277,3,100,A,Dance
WANDA,Quevedo,1,2023,1,888,22,175399345,11,24,7,1,176,E,Reggaeton
Thought You Should Know,Morgan Wallen,1,2022,5,968,4,203221468,16,53,1,0,140,F#,Country
In The End,Linkin Park,1,2000,10,25065,6,1624165576,63,0,6808,2,105,D#,Alternative
Zona De Perigo,Leo Santana,1,2022,12,531,4,134294498,20,1,71,2,135,F,Brazilian Music
Lovezinho,Treyce,1,2022,7,242,0,70069745,12,2,13,0,128,E,Soul & Funk
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,5281,14,609293408,94,21,80,15,101,F,Pop
Neverita,Bad Bunny,1,2022,5,2590,30,671365962,20,64,35,6,122,A#,Latin Music
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,6180,7,1223481149,122,88,580,21,77,B,Pop
Revenge,XXXTENTACION,1,2017,8,3600,11,1022258230,7,0,203,0,140,B,Rap/Hip Hop
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,1254,6,263453310,26,69,73,2,158,C#,Brazilian Music
Love Again,The Kid Laroi,1,2023,1,1283,0,147538971,57,4,48,0,107,B,Pop
After Hours,The Weeknd,1,2020,2,8084,6,698086140,45,115,218,1,109,F,R&B
About Damn Time,Lizzo,1,2022,7,2332,2,723894473,0,0,25,0,109,A#,Pop
Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,2460,13,309483971,53,7,56,3,94,F,Rap/Hip Hop
Maan Meri Jaan,King,1,2022,10,288,6,319566866,11,80,1,0,96,F#,Pop
Moscow Mule,Bad Bunny,1,2022,5,4572,33,909001996,74,113,85,9,100,F,Latin Music
My Universe,"Coldplay, BTS",2,2021,9,6127,13,1061966512,0,0,0,0,105,A,Alternative
LLYLM,ROSALï¿½,1,2023,1,1838,0,124988687,105,41,114,1,170,F#,Pop
TRUSTFALL,P!nk,1,2023,1,2098,16,134255790,88,24,101,7,122,G#,Pop
ANTIFRAGILE,LE SSERAFIM,1,2022,10,761,12,301051721,23,95,11,0,105,A#,Asian Music
Boy's a liar,PinkPantheress,1,2022,11,1225,0,156338624,27,0,28,13,133,F,Pop
Shirt,SZA,1,2022,10,3469,0,309653982,71,95,31,0,120,D#,Pop
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,3311,0,297328960,129,31,212,1,177,A,Pop
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,2616,0,332506354,113,17,208,0,142,D,Pop
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,3006,16,480507035,47,60,87,12,144,E,Alternative
Boy With Luv (feat. Halsey),"Halsey, BTS",2,2019,4,4260,0,1065580332,113,92,259,0,120,B,Asian Music
"Hey, Mickey!",Baby Tate,1,2016,9,482,0,122763672,9,1,12,4,135,D,Rap/Hip Hop
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,138,4,1365184,13,78,2,0,105,G,Asian Music
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,1368,0,184308753,12,1,11,0,108,F#,Pop
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,4796,9,606361689,124,66,212,13,174,F,Pop
TV,Billie Eilish,1,2022,7,3009,2,338564981,68,89,65,0,141,E,Alternative
I'm Not The Only One,Sam Smith,1,2014,1,17492,3,1606986953,136,24,1959,0,82,F,Pop
Heather,Conan Gray,1,2020,3,6170,7,1301799902,82,1,231,0,92,F,Pop
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,130,4,140187018,21,79,2,0,116,G#,Asian Music
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,359,0,107642809,12,56,13,0,125,A#,Asian Music
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,5491,14,556585270,128,84,75,0,83,C#,Rap/Hip Hop
Don't Start Now,Dua Lipa,1,2019,10,27119,0,2303033973,532,77,1535,3,124,B,Pop
After Dark,Mr.Kitty,1,2014,8,1776,14,646886885,1,9,3,0,140,G#,Alternative
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,4057,8,872137015,78,21,240,1,186,E,Pop
Atlantis,Seafret,1,2015,4,3045,6,571386359,43,53,134,1,166,G#,Alternative
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,852,0,174006928,14,1,50,0,87,G,Soul & Funk
How Do I Say Goodbye,Dean Lewis,1,2022,8,2163,15,284785823,72,97,58,0,82,G#,Singer & Songwriter
Blind,SZA,1,2022,12,1484,0,163284000,22,51,12,0,114,A,Rock
Die For You,Joji,1,2022,11,1703,0,246390068,38,45,36,16,148,G#,R&B
Doja,Central Cee,1,2022,7,4169,44,482257456,57,44,183,1,140,F#,Rap/Hip Hop
Gatita,Bellakath,1,2022,10,1054,0,168684524,9,0,15,0,101,G,Latin Music
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,2849,0,78489819,39,45,27,0,140,C#,Electro
Yonaguni,Bad Bunny,1,2021,6,9644,28,1260594497,120,86,164,4,180,C#,Reggaeton
Super Freaky Girl,Nicki Minaj,1,2022,8,4827,0,428685680,104,17,76,9,133,D,Rap/Hip Hop
Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,21811,0,1024858327,117,1,676,3,108,A#,Pop
Dream On,Aerosmith,1,1973,1,168,0,838586769,0,0,5,0,80,F,Rock
Limbo,Freddie Dredd,1,2022,8,688,0,199386237,14,1,17,0,75,B,Rap/Hip Hop
Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,10565,44,972509632,238,122,557,17,121,F#,Electro
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,1612,0,213438580,34,54,34,0,140,D,Electro
KICK BACK,Kenshi Yonezu,1,2022,10,574,4,210038833,38,101,26,0,102,C#,Asian Music
Good Days,SZA,1,2020,12,10426,2,826623384,133,109,182,1,121,C#,Pop
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,15894,8,1802514301,198,13,544,0,103,F#,Pop
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,713,7,181831132,2,4,6,0,85,F,R&B
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,7758,28,462791599,173,79,175,0,125,C#,Dance
"You're On Your Own, Kid",Taylor Swift,1,2022,10,2537,2,348647203,8,18,20,0,120,D,Pop
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,6512,0,446390129,88,1,277,0,134,C#,Pop
Underneath the Tree,Kelly Clarkson,1,2013,10,6596,0,485285717,144,99,251,0,160,G#,Pop
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,3788,0,520034544,21,3,10,0,148,D,Classical
Seek & Destroy,SZA,1,2022,12,1007,0,98709329,5,31,1,0,152,C#,R&B
Love Language,SZA,1,2022,12,1127,0,110849052,16,63,8,0,65,A,R&B
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,10829,0,460492795,130,1,390,0,147,D,Rock
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,1042,0,94005786,7,29,3,0,150,A#,R&B
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,1685,0,403939487,1,0,29,0,95,B,Pop
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,1634,0,110073250,16,20,4,0,125,F#,R&B
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1087,0,351636786,90,35,5,0,101,C#,Pop
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,10585,0,473248298,126,108,406,0,143,D,Pop
SOS,SZA,1,2022,12,827,0,73981293,6,18,1,0,119,G,Pop
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,1420,4,155653938,13,87,17,0,78,A,R&B
Gone Girl,SZA,1,2022,12,892,0,65362788,3,17,2,0,150,F,R&B
F2F,SZA,1,2022,12,989,0,67540165,5,9,1,0,90,D,R&B
Notice Me,SZA,1,2022,12,819,0,62019074,14,22,0,0,160,F,R&B
Wild Flower (with youjeen),RM,1,2022,12,353,2,135611421,2,74,14,0,155,G#,Asian Music
I Hate U,SZA,1,2021,12,4094,0,356709897,66,96,43,0,107,G,R&B
Smoking on my Ex Pack,SZA,1,2022,12,811,0,57144458,6,11,3,0,81,G#,R&B
Conceited,SZA,1,2022,12,899,0,56870689,2,14,2,0,150,C#,Pop
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,2415,0,323437194,33,57,30,0,110,A,Pop
Maroon,Taylor Swift,1,2022,10,2304,0,317726339,12,16,14,0,108,G,Pop
Bejeweled,Taylor Swift,1,2022,10,2699,0,328207708,39,35,22,2,164,G,Pop
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,2482,20,608228647,27,77,22,2,114,B,Latin Music
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,2577,0,180577478,108,56,30,0,93,F,Electro
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,6821,34,809306935,83,58,128,7,90,C#,African Music
Too Late,SZA,1,2022,12,714,0,49262961,0,9,2,0,128,B,R&B
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,3185,4,614555082,38,64,37,3,97,A,Latin Music
Far,SZA,1,2022,12,680,0,51641685,2,15,1,0,116,D,R&B
Is There Someone Else?,The Weeknd,1,2022,1,2881,6,391251368,13,89,34,0,135,A,R&B
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,2235,0,349585590,65,7,70,16,109,F,Pop
Do It To It,"Cherish, ACRAZE",2,2021,8,12403,0,674772936,183,63,465,0,125,B,Dance
How Do I Make You Love Me?,The Weeknd,1,2022,1,1915,0,119238316,7,47,15,0,121,G,R&B
Gasoline,The Weeknd,1,2022,1,2297,0,116903579,11,29,14,0,123,F#,Rock
Infinity,Jaymes Young,1,2017,6,4375,0,888046992,24,0,396,0,122,B,Alternative
Best Friends,The Weeknd,1,2022,1,1292,0,101114984,3,18,14,0,87,E,R&B
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,15867,0,1575467011,382,65,497,0,111,G#,Pop
Dawn FM,The Weeknd,1,2022,1,811,0,53933526,1,8,6,0,78,A,R&B
Surface Pressure,Jessica Darrow,1,2021,11,1756,0,267758538,38,48,20,0,180,D,Films/Games
Starry Eyes,The Weeknd,1,2022,1,1014,0,74601456,1,17,11,0,86,A,R&B
THATS WHAT I WANT,Lil Nas X,1,2021,9,7963,0,920797189,173,7,298,0,88,C#,Pop
Beggin,Mï¿½ï¿½ne,1,2017,12,8559,0,1367810478,183,64,964,9,134,B,Pop
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,3221,2,578207856,67,13,139,0,116,D,Christian
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,9151,6,656013912,240,107,268,0,118,G,Pop
Oh My God,Adele,1,2021,11,4431,0,466214729,105,7,199,0,88,C#,Pop
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,759,3,236940480,32,0,12,0,170,F,Rap/Hip Hop
A Tale By Quincy,The Weeknd,1,2022,1,733,0,41924466,0,2,2,0,94,F,R&B
I AM WOMAN,Emmy Meli,1,2021,11,2795,0,225259194,45,0,107,0,170,A#,Pop
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,2780,2,393230256,54,21,57,1,90,E,Rap/Hip Hop
It'll Be Okay,Shawn Mendes,1,2021,12,1950,0,287201015,56,8,104,0,78,G,Pop
Softcore,The Neighbourhood,1,2018,3,3947,12,599770206,33,102,93,0,94,D,Alternative
Super Gremlin,Kodak Black,1,2021,10,2551,0,342779426,52,15,35,0,73,D,Rap/Hip Hop
Volvï¿,"Aventura, Bad Bunny",2,2021,8,5375,10,673801126,138,24,133,0,176,C#,Reggaeton
Todo De Ti,Rauw Alejandro,1,2020,11,11975,8,1168642797,188,75,268,6,128,D#,Dance
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,4963,0,383550148,63,40,76,0,82,D,Pop
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,6734,0,530511203,47,14,90,0,95,D,Alternative
Tacones Rojos,Sebastian Yatra,1,2021,10,3047,9,510876816,77,31,85,5,123,B,Pop
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,11215,21,1763363713,189,166,525,9,110,E,Latin Music
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,1678,12,374191487,20,4,15,1,96,C#,Reggaeton
Butter,BTS,1,2021,5,4779,6,1143647827,180,135,223,0,110,G#,Asian Music
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,3517,0,311395144,54,28,43,0,78,C#,Rap/Hip Hop
You Right,"Doja Cat, The Weeknd",2,2021,6,5073,0,672656250,83,9,100,0,129,G#,Pop
deja vu,Olivia Rodrigo,1,2021,4,7545,4,1256880657,117,39,141,0,181,A,Pop
TO THE MOON,Jnr Choi,1,2021,11,2979,0,245095641,44,0,159,0,144,D,Rap/Hip Hop
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,7731,2,686734357,110,145,447,0,101,D,Electro
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,3272,19,610045621,101,34,70,1,154,F#,Latin Music
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,14417,0,1115880852,237,123,569,0,148,F,Pop
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,6026,0,566954746,171,51,187,1,120,B,Dance
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,1150,0,184937148,20,38,12,0,141,C#,Films/Games
Phantom Regret by Jim,The Weeknd,1,2022,1,768,0,31959571,1,1,3,0,108,A,R&B
Freaks,Surf Curse,1,2015,5,3006,3,824420218,23,21,121,0,180,A,Alternative
Acapulco,Jason Derulo,1,2021,9,3098,0,363467642,111,5,182,1,122,A#,Pop
Daddy Issues,The Neighbourhood,1,2015,10,9771,4,1127468248,42,70,384,0,85,A#,Alternative
thought i was playing,"21 Savage, Gunna",2,2022,1,807,0,60680939,3,0,5,0,148,C#,Rap/Hip Hop
ELEVEN,IVE,1,2021,12,521,1,247737946,17,89,11,0,120,A,Asian Music
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,802,0,154797871,13,27,8,0,120,E,Films/Games
Miserable Man,David Kushner,1,2022,1,788,0,124407432,13,0,32,1,110,A#,Pop
happier,Olivia Rodrigo,1,2021,5,3069,4,850608354,25,46,105,0,169,F#,Pop
Praise God,Kanye West,1,2021,8,4651,0,376333030,24,6,105,0,118,C#,Rap/Hip Hop
Get Into It (Yuh),Doja Cat,1,2021,6,4999,0,516784627,43,19,73,12,92,G#,Pop
Before You Go,Lewis Capaldi,1,2019,11,8327,24,1608045237,205,130,625,0,112,D#,Alternative
Sky,Playboi Carti,1,2020,12,3297,3,506778838,25,3,52,0,140,D,Rap/Hip Hop
Rolling in the Deep,Adele,1,2010,11,35684,6,1472799873,195,125,6280,2,105,G#,Pop
Sobrio,Maluma,1,2021,7,3506,10,513643924,103,76,100,1,178,F,Rap/Hip Hop
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,2999,0,261286503,60,17,154,0,108,G,Pop
favorite crime,Olivia Rodrigo,1,2021,5,3681,0,783706581,20,21,99,0,173,A,Pop
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,4846,10,422691058,54,16,259,0,101,C#,Dance
The Business,Tiï¿½ï¿,1,2020,1,14311,0,1062345656,255,32,582,0,120,G#,Dance
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,4873,0,851070493,65,88,434,3,133,C#,Pop
The Feels,TWICE,1,2021,10,1150,0,345903614,20,99,44,0,120,A,Alternative
No Lie,"Sean Paul, Dua Lipa",2,2016,11,7370,0,956865266,92,127,1219,0,102,G,Reggae
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,6890,0,427486004,122,11,201,0,124,G#,Dance
Pope Is a Rockstar,SALES,1,2016,4,1966,0,156658366,4,2,50,0,90,E,Pop
2055,Sleepy hallow,1,2021,4,2226,0,624515457,29,0,44,0,161,F#,Rap/Hip Hop
Bored,Billie Eilish,1,2017,3,4204,0,777765388,39,45,250,0,120,G,Alternative
Astronaut In The Ocean,Masked Wolf,1,2019,1,7191,0,1138474110,146,18,478,0,150,E,Rap/Hip Hop
Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2012,0,355219175,101,12,38,0,105,G#,Rap/Hip Hop
Every Summertime,NIKI,1,2021,8,1211,2,290228626,30,2,5,0,79,F#,Pop
Talking To The Moon,Bruno Mars,1,2010,10,7109,2,1062956628,5,0,862,0,146,C#,Pop
you broke me first,Tate McRae,1,2020,4,6638,0,1180094974,167,19,318,0,124,E,Pop
The Nights,Avicii,1,2014,1,17354,8,1456081449,92,122,1282,0,126,F#,Dance
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,824,0,1223481149,8,8,8,2,77,G,Alternative
Lucid Dreams,Juice WRLD,1,2017,6,14749,0,2288695111,188,34,710,0,84,B,Rap/Hip Hop
All of Me,John Legend,1,2013,8,27221,0,2086124197,308,118,4534,2,120,G#,Pop
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,49991,9,1690192927,265,121,12367,4,117,C#,Rock
Bar,"Tini, L-Gante",2,2021,11,755,4,200972675,22,3,0,0,94,C#,Pop
The Rumbling (TV Size),SiM,1,2022,1,254,0,71014967,0,4,23,0,145,G#,Rock
Mr. Brightside,The Killers,1,2003,9,51979,15,1806617704,306,99,5063,2,148,C#,Rock
Blessed-Cursed,ENHYPEN,1,2022,1,246,0,77337771,2,12,10,0,127,E,Asian Music
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,6556,0,528544703,93,5,67,1,172,F#,Reggaeton
Streets,Doja Cat,1,2019,11,5728,0,865640097,85,87,179,0,90,B,R&B
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,16636,12,2159346687,368,155,2854,6,96,G,Films/Games
Polaroid Love,ENHYPEN,1,2022,1,461,0,211372494,10,56,17,0,138,G,Asian Music
Permission to Dance,BTS,1,2021,7,1801,2,608334048,77,134,74,0,125,A,Asian Music
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,12043,0,863756573,209,54,710,0,123,D,Dance
RAPSTAR,Polo G,1,2021,4,4731,0,797402345,141,12,78,0,81,F#,Rap/Hip Hop
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,22923,0,1695712020,78,46,2515,1,171,C#,Rap/Hip Hop
Memories,Maroon 5,1,2019,9,9974,2,1759567999,272,67,1066,1,91,B,Pop
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,1560,0,223319934,72,0,0,0,84,G,Rap/Hip Hop
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,620,0,54937991,17,3,3,0,115,F,Rap/Hip Hop
MAMIII,"Karol G, Becky G",2,2022,2,6809,28,716591492,151,102,175,5,94,E,Pop
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,33966,0,1210599487,141,78,6591,1,93,B,Rap/Hip Hop
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,590,5,246376690,4,113,20,0,130,D,Asian Music
Boyfriend,Dove Cameron,1,2022,2,3766,0,496311364,76,0,102,0,180,G,Alternative
