Track Name,Artist(s) Name,Artist Count,Released Year,Released Month,Spotify Playlists Ranking,Spotify Charts Ranking,Spotify Streams,Apple Playlists Ranking,Apple Charts Ranking,Deezer Playlists Ranking,Deezer Charts Ranking,BPM,Key,Deezer Genre
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,31762,0,843309044,142,40,5451,1,95,D#,Rap/Hip Hop
Light Switch,Charlie Puth,1,2022,1,4049,0,500340342,119,6,85,1,184,F#,Pop
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,2096,0,107255472,34,3,30,0,147,G#,Rap/Hip Hop
Brividi,"Mahmood, Blanco",2,2022,2,1175,0,135079152,34,1,31,0,123,G,Pop
Lost,Frank Ocean,1,2012,1,29499,11,822239726,124,27,587,0,123,A#,Alternative
In Da Club,50 Cent,1,2002,1,30427,7,1202722675,235,106,5221,1,90,F#,Rap/Hip Hop
she's all i wanna be,Tate McRae,1,2022,2,2711,0,343197054,105,12,51,0,160,D,Pop
Ginseng Strip 2002,Yung Lean,1,2013,8,4310,0,240769997,13,0,113,1,115,C#,Rap/Hip Hop
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,5342,0,426204830,33,123,7,0,141,D#,Films/Games
Notion,The Rare Occasions,1,2016,8,2393,0,421135627,22,13,65,0,160,A,Alternative
Formula,Labrinth,1,2019,10,3444,7,554875730,24,85,102,0,145,B,Films/Games
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,272,4,327498031,7,21,2,0,95,F,Alternative
Cigarettes,Juice WRLD,1,2021,12,975,0,185408548,11,0,10,0,160,D,Rap/Hip Hop
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,19067,0,675039469,78,15,1674,0,134,G#,Rap/Hip Hop
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,3541,2,252871192,57,13,50,1,172,B,Electro
Mujeriego,Ryan Castro,1,2021,12,1492,0,231996128,44,63,91,0,80,A,Rap/Hip Hop
HUMBLE.,Kendrick Lamar,1,2017,3,33206,1,1929770265,284,114,1481,0,150,C#,Rap/Hip Hop
Stan,"Eminem, Dido",2,1999,11,17115,0,918915401,83,63,4180,0,80,F#,Rap/Hip Hop
Contection,"GODZZ__-, Zakaria",2,2020,1,6955,0,1180896317,65,45,398,0,166,A#,Pop
Swim,Chase Atlantic,1,2017,10,2742,0,498960285,5,1,62,0,120,G#,Alternative
Numb Little Bug,Em Beihold,1,2022,1,2026,0,258714692,47,3,42,12,85,G#,Pop
212,"Mainstreet, Chefin",2,2022,1,352,0,143139338,10,0,39,0,154,D,Rap/Hip Hop
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,1517,0,209768491,42,7,15,0,92,D,Rap/Hip Hop
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,847,0,64714573,25,0,14,0,140,B,Rap/Hip Hop
Worst Day,Future,1,2022,2,910,0,50746620,20,3,24,0,89,C#,Rap/Hip Hop
Malvada,Zï¿½ï¿½ Fe,1,2022,1,601,0,154119539,28,73,64,0,135,F,Brazilian Music
Hrs and Hrs,Muni Long,1,2021,11,1800,0,181328253,43,36,46,13,140,G#,R&B
Alien Blues,Vundabar,1,2015,7,1930,0,370068639,3,0,28,0,82,D#,Pop
Thinking Out Loud,Ed Sheeran,1,2014,1,33032,0,2280566092,363,129,3895,0,79,D,Pop
Still Don't Know My Name,Labrinth,1,2019,10,6332,0,563902868,47,116,266,0,88,F,Films/Games
Christmas Tree,V,1,2021,12,509,9,317622165,8,106,6,0,139,F,Asian Music
When I R.I.P.,Labrinth,1,2019,10,2578,0,203680270,8,67,66,0,80,G#,Films/Games
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,1064,0,81350745,42,1,26,0,120,C#,Rap/Hip Hop
Forever,Labrinth,1,2019,10,3618,0,282883169,21,86,138,0,80,E,Films/Games
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,4708,0,461437791,13,7,55,0,140,F,Rap/Hip Hop
Adore You,Harry Styles,1,2019,12,13454,1,1439191367,246,71,519,2,99,G#,Pop
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,4890,20,759208783,52,42,100,0,93,C#,Reggaeton
Something In The Way - Remastered 2021,Nirvana,1,1991,9,9514,0,368646862,45,27,1197,0,106,G#,Rock
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,3501,0,299634472,69,2,51,11,124,G,Rap/Hip Hop
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,6111,4,756907987,185,40,492,9,95,G#,Pop
Una Noche en Medellï¿½,Cris Mj,1,2022,1,5415,32,682475162,46,16,53,1,96,A#,Latin Music
Envolver,Anitta,1,2021,11,4673,2,546191065,123,113,180,1,92,E,Pop
Starlight,Dave,1,2022,3,1856,3,229473310,29,40,31,1,124,G,Rap/Hip Hop
Hati-Hati di Jalan,Tulus,1,2022,3,200,2,202677468,12,4,0,0,72,F#,Pop
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,461,0,94616487,7,11,13,0,71,C#,Rap/Hip Hop
Jordan,Ryan Castro,1,2021,4,2844,2,394030335,29,2,35,1,180,A#,Rap/Hip Hop
Nail Tech,Jack Harlow,1,2022,2,2939,0,193443895,42,0,24,0,150,E,Rap/Hip Hop
Chale,Eden Muï¿½ï,1,2022,2,695,11,299648208,16,41,13,1,189,G#,Latin Music
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,866,16,319757142,27,84,32,7,140,G,Banda/Grupero
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,1729,0,153240879,26,1,19,0,104,D,Rap/Hip Hop
this is what falling in love feels like,JVKE,1,2021,9,2005,0,346127840,16,5,43,0,129,B,Pop
La Zona,Bad Bunny,1,2020,2,1188,0,312622938,13,1,15,0,94,C#,Reggaeton
Hope,XXXTENTACION,1,2018,3,3659,0,1200808494,11,10,267,0,146,A,Pop
Levitating,Dua Lipa,1,2020,3,9833,0,797196073,233,82,531,1,103,F#,Pop
Wake Me Up - Radio Edit,Avicii,1,2013,1,50887,34,1970673297,315,160,6284,1,124,D,Electro
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,3257,0,665765558,10,0,70,0,164,A#,Pop
Demasiadas Mujeres,C. Tangana,1,2020,10,2226,0,339473453,36,2,11,0,126,A,Rap/Hip Hop
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,23375,21,2204080728,336,188,2692,3,103,B,Alternative
Closer,"The Chainsmokers, Halsey",2,2016,5,28032,0,2591224264,315,159,2179,0,95,G#,Electro
O.O,NMIXX,1,2022,2,290,0,135444283,9,66,10,0,200,B,Asian Music
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,2605,0,236872197,15,48,50,0,98,F#,Rock
First Class,Jack Harlow,1,2022,4,8737,0,694525298,163,32,137,15,107,G#,Rap/Hip Hop
Fuera del mercado,Danny Ocean,1,2022,2,2499,21,421365166,68,24,43,1,92,G#,Pop
When You're Gone,Shawn Mendes,1,2022,3,2092,0,255120451,75,11,44,0,147,F,Pop
In My Head,Lil Tjay,1,2022,4,1185,0,190981339,21,0,31,0,143,C#,Rap/Hip Hop
Wait a Minute!,Willow,1,2015,1,11985,0,924193303,79,80,250,3,101,D#,Alternative
LOVE DIVE,IVE,1,2022,4,753,8,305771063,28,124,13,0,118,C#,Asian Music
Pantysito,"Feid, Alejo, Robi",3,2022,3,2995,0,273005485,49,17,30,0,98,G,Rap/Hip Hop
Chance,Paulo Londra,1,2022,4,225,0,89566512,11,0,7,0,138,C#,Dance
Cool for the Summer,Demi Lovato,1,2015,1,9243,0,677389855,155,5,577,0,114,F,Pop
psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,918,0,75476209,24,0,52,0,180,G,Pop
Angel Baby,Troye Sivan,1,2021,9,1959,9,408843328,52,25,32,0,145,B,Pop
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,859,0,178512385,14,0,11,0,82,A#,Reggaeton
Right On,Lil Baby,1,2022,4,1116,0,101780047,31,9,15,0,166,D,Rap/Hip Hop
That's Hilarious,Charlie Puth,1,2022,4,686,2,146363130,11,6,12,0,108,F#,Pop
Soy El Unico,Yahritza Y Su Esencia,1,2022,3,226,0,126443991,5,0,4,0,84,E,Traditional Mexicano
sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,870,0,176290831,32,0,49,0,135,D#,Pop
Falling,Harry Styles,1,2019,12,7556,0,1023187129,124,24,254,0,110,E,Pop
MANIAC,Stray Kids,1,2022,3,651,0,212234990,6,188,20,0,120,C#,Pop
There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,12382,0,1714490998,229,57,1370,2,122,D,Pop
Golden,Harry Styles,1,2019,12,8429,1,807015863,85,24,200,0,140,E,Pop
Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,52898,0,933815613,203,1,8215,0,116,F#,Electro
Ain't Shit,Doja Cat,1,2021,6,3436,0,499710590,32,6,46,0,124,D#,Pop
"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,918,0,120847157,34,39,30,0,105,A,Films/Games
Still Life,BIGBANG,1,2022,4,181,0,53909146,16,14,7,0,118,G#,Asian Music
Photograph,Ed Sheeran,1,2014,6,18778,3,2236667932,228,105,2453,0,108,E,Pop
Love Yourself,Justin Bieber,1,2015,11,22730,5,2123309722,289,87,2430,0,100,E,Pop
N95,Kendrick Lamar,1,2022,5,5542,0,301242089,52,16,65,0,140,D#,Rap/Hip Hop
About Damn Time,Lizzo,1,2022,4,9021,0,723894473,242,49,272,21,109,A#,Pop
Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,4627,0,237351106,38,13,32,0,101,C#,Rap/Hip Hop
United In Grief,Kendrick Lamar,1,2022,5,2575,0,156898322,4,5,12,0,87,G#,Rap/Hip Hop
Rich Spirit,Kendrick Lamar,1,2022,5,3486,0,173702135,20,10,33,0,96,A#,Rap/Hip Hop
Me Fui de Vacaciones,Bad Bunny,1,2022,5,1443,0,305650299,9,11,22,1,85,A#,Latin Music
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,3028,0,123216717,22,0,23,0,140,C#,Rap/Hip Hop
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,1796,8,479655659,8,25,18,1,196,B,Latin Music
Count Me Out,Kendrick Lamar,1,2022,5,2729,0,126191104,3,7,13,0,134,G,Rap/Hip Hop
Andrea,"Buscabulla, Bad Bunny",2,2022,5,1195,0,344055883,8,30,13,1,103,C#,Latin Music
Dos Mil 16,Bad Bunny,1,2022,5,892,3,338422004,10,24,11,0,130,C#,Latin Music
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,1635,0,68895644,4,1,6,0,108,B,Rap/Hip Hop
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,2291,0,86176890,9,0,8,0,123,G#,Rock
Un Coco,Bad Bunny,1,2022,5,1029,28,403231558,5,28,9,0,152,B,Latin Music
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,1681,7,319546754,10,30,13,0,108,D,Latin Music
Worldwide Steppers,Kendrick Lamar,1,2022,5,1480,0,61739839,1,0,5,0,72,A#,Rap/Hip Hop
Aguacero,Bad Bunny,1,2022,5,829,0,283359161,4,15,10,0,121,F#,Latin Music
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,2308,0,76831876,7,0,7,0,138,D#,Films/Games
Un Verano Sin Ti,Bad Bunny,1,2022,5,1004,1,283332261,8,12,9,0,188,F,Latin Music
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,1367,0,307752576,48,4,34,1,110,C#,Pop
Callaita,"Bad Bunny, Tainy",2,2019,5,9539,15,1304313953,162,116,355,7,176,D,Reggaeton
Dua Lipa,Jack Harlow,1,2022,5,1992,0,150500965,35,0,3,0,158,B,Pop
Agosto,Bad Bunny,1,2022,5,897,0,246127838,6,20,8,0,115,C#,Latin Music
House Of Memories,Panic! At The Disco,1,2016,1,2948,0,582863434,10,2,150,0,110,B,Alternative
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,1860,0,58687425,1,0,3,0,174,A,Rap/Hip Hop
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,802,0,212109195,16,81,23,0,130,E,Asian Music
In The Stars,Benson Boone,1,2022,4,2224,8,382199619,48,40,87,1,78,A#,Pop
Rich - Interlude,Kendrick Lamar,1,2022,5,1103,0,41210087,0,0,0,0,104,G,Rap/Hip Hop
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,2265,0,231657891,93,12,173,11,121,G,Pop
Stefania (Kalush Orchestra),KALUSH,1,2022,3,555,0,53729194,10,4,4,0,105,D,Rap/Hip Hop
Thousand Miles,The Kid Laroi,1,2022,4,2050,0,244741137,52,9,46,0,81,G,Rap/Hip Hop
Crown,Kendrick Lamar,1,2022,5,1493,0,42485571,2,0,10,0,170,C#,Asian Music
Auntie Diaries,Kendrick Lamar,1,2022,5,1545,0,37778188,1,0,4,0,78,G,Rap/Hip Hop
PUFFIN ON ZOOTIEZ,Future,1,2022,4,2350,0,254218729,28,42,23,0,125,G#,Rap/Hip Hop
Mirror,Kendrick Lamar,1,2022,5,1929,0,53603447,2,0,4,0,92,E,Rap/Hip Hop
Beautiful Girl,Luciano,1,2022,4,710,4,160035717,16,11,18,0,140,B,Latin Music
Savior - Interlude,Kendrick Lamar,1,2022,5,1194,0,37091576,0,0,3,0,118,F,Rap/Hip Hop
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,349,6,284249832,10,22,3,0,92,B,Pop
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,4531,0,300983101,135,74,119,1,127,A#,Dance
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,1657,0,121077868,15,3,3,0,96,B,Rap/Hip Hop
ZOOM,Jessi,1,2022,4,608,0,136996305,5,29,14,0,100,F#,Asian Music
SloMo,Chanel,1,2021,12,1211,0,65719930,31,0,19,0,105,C#,Pop
FEARLESS,LE SSERAFIM,1,2022,5,629,0,229497852,18,75,9,0,104,G,Asian Music
10 Things I Hate About You,Leah Kate,1,2022,3,1301,0,185550869,23,1,15,0,154,G#,Pop
SPACE MAN,Sam Ryder,1,2022,2,1329,0,54682594,42,51,32,0,80,B,Alternative
With you,"HA SUNG WOON, Jimin",2,2022,4,343,2,240580042,4,35,11,1,150,D#,Electro
Iris,The Goo Goo Dolls,1,1998,3,13101,9,1284942608,137,5,582,0,156,B,Pop
The Heart Part 5,Kendrick Lamar,1,2022,5,2939,0,71423324,29,0,30,0,98,G#,Rap/Hip Hop
San Lucas,Kevin Kaarl,1,2019,11,407,1,244891912,5,0,5,0,92,G,Folk
Good Looking,Suki Waterhouse,1,2017,10,2264,0,184706613,11,6,25,0,150,E,Alternative
Flowers,Lauren Spencer Smith,1,2021,8,801,0,184826429,42,9,24,1,138,D#,Pop
Yet To Come,BTS,1,2022,6,829,0,302006641,32,110,26,0,172,C#,Pop
Run BTS,BTS,1,2022,6,736,0,330881149,5,132,17,0,77,G#,Asian Music
Music For a Sushi Restaurant,Harry Styles,1,2022,5,4449,1,334733572,80,11,66,0,107,B,Pop
Matilda,Harry Styles,1,2022,5,3218,3,366214458,29,10,79,0,114,D,Pop
For Youth,BTS,1,2022,6,327,0,114546317,5,40,12,0,117,D,Asian Music
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,4576,0,448500832,79,13,93,0,160,G#,Pop
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,2313,0,136676504,34,0,29,0,120,G,Rap/Hip Hop
Born Singer,BTS,1,2022,6,279,0,79095270,0,18,6,0,158,G#,Asian Music
Little Freak,Harry Styles,1,2022,5,2302,0,273194684,20,3,39,0,142,D#,Pop
True Love,"Kanye West, XXXTENTACION",2,2022,5,2129,0,194902696,23,1,44,1,84,F,Rap/Hip Hop
Pass The Dutchie,Musical Youth,1,1982,1,5328,0,195918494,54,76,900,0,151,G,Pop
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,1401,0,248511839,26,16,17,0,128,C#,Electro
Love Of My Life,Harry Styles,1,2022,5,1933,0,233671263,13,2,31,0,118,G,Pop
Grapejuice,Harry Styles,1,2022,5,1986,0,199587884,7,1,15,0,183,F,Pop
So Good,Halsey,1,2022,6,1057,0,91781263,51,14,19,0,83,D#,Alternative
Belly Dancer,"BYOR, Imanbek",2,2022,2,5115,13,383835984,109,38,301,1,122,C#,Dance
Keep Driving,Harry Styles,1,2022,5,2094,1,236060709,8,1,18,0,165,A,Pop
Cinema,Harry Styles,1,2022,5,2171,0,189236868,18,1,28,0,106,A,Pop
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,896,0,160845341,19,0,15,0,77,B,Rap/Hip Hop
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,5148,0,588955257,90,22,365,0,91,G#,Pop
Hold My Hand,Lady Gaga,1,2022,5,2528,0,238350348,63,8,270,2,148,G,Pop
Daydreaming,Harry Styles,1,2022,5,1900,1,187703102,15,1,23,0,114,E,Pop
Me and Your Mama,Childish Gambino,1,2016,11,8775,0,445590495,33,60,107,1,118,F,R&B
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,5290,0,286739476,139,73,142,0,123,E,Dance
SLOW DANCING IN THE DARK,Joji,1,2018,9,10211,0,1122364376,38,79,65,0,89,D#,R&B
Antes de Perderte,Duki,1,2022,6,584,8,157136970,12,1,8,0,110,F,Reggaeton
295,Sidhu Moose Wala,1,2021,5,246,4,183273246,4,106,0,0,90,B,Indian Music
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,514,0,164856284,5,36,1,0,154,F#,Traditional Mexicano
Master of Puppets (Remastered),Metallica,1,1986,3,6080,0,704171068,112,198,406,1,105,E,Rock
BREAK MY SOUL,Beyoncï¿,1,2022,6,9724,0,354614964,222,61,259,14,115,C#,Pop
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,2341,0,279717388,37,2,38,2,110,C#,Pop
Massive,Drake,1,2022,6,5263,0,195628667,66,89,61,0,125,E,Dance
Betty (Get Money),Yung Gravy,1,2022,6,2402,0,221752937,45,2,26,0,102,C#,Rap/Hip Hop
Ojos Marrones,Lasso,1,2022,2,795,11,263280370,26,18,15,1,120,G#,Pop
POP!,Nayeon,1,2022,6,571,0,213505179,19,21,14,0,97,D,Asian Music
MORE,j-hope,1,2022,7,565,0,155795783,6,52,11,0,97,D,Pop
Sweet Child O' Mine,Guns N' Roses,1,1987,1,41231,1,1553497987,228,151,6720,3,125,F#,Rock
Sticky,Drake,1,2022,6,2814,0,191448892,38,105,25,0,137,A#,Dance
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,894,4,176103902,28,0,54,0,130,F#,Brazilian Music
La Loto,"Anitta, Tini, Becky G",3,2022,7,945,0,121189256,49,3,57,0,90,C#,Pop
die first,Nessa Barrett,1,2022,6,767,0,131746175,25,0,22,0,183,G#,Pop
Afraid To Feel,LF System,1,2022,5,5898,5,244790012,129,55,128,0,128,C#,Dance
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,685,2,129314708,17,0,24,0,130,D#,Brazilian Music
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,2107,0,170732845,51,1,50,0,130,E,Rap/Hip Hop
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,1379,4,179061440,23,10,18,0,172,G#,Rap/Hip Hop
GIVENCHY,Duki,1,2022,7,625,4,185236961,13,18,12,0,103,G#,Rap/Hip Hop
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,2688,0,171788484,39,47,36,0,122,A#,Pop
Mary On A Cross,Ghost,1,2019,9,2668,2,387080183,38,266,78,0,130,B,Metal
Attention,NewJeans,1,2022,8,799,12,264717480,14,141,9,0,105,A#,Rap/Hip Hop
THE SHADE,Rex Orange County,1,2022,3,1189,6,244928911,17,10,16,0,120,F,Alternative
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,367,0,97610446,28,67,195,0,145,G,Films/Games
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,527,4,287278853,10,43,3,1,99,G,Traditional Mexicano
Heartless,Kanye West,1,2008,1,17504,34,887906111,63,39,1315,0,88,A#,R&B
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,3113,0,123473120,54,6,124,1,126,A,Pop
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,782,9,323455692,15,33,6,1,113,G#,Traditional Mexicano
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,2442,0,240918092,81,4,248,1,132,B,Dance
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,1112,4,191873381,22,2,65,1,135,G#,Brazilian Music
Forget Me,Lewis Capaldi,1,2022,9,2520,4,239411309,93,95,84,9,102,C#,Alternative
Bound 2,Kanye West,1,2013,1,19806,7,703301727,33,11,274,0,149,C#,Rap/Hip Hop
Talk that Talk,TWICE,1,2022,8,615,0,189476119,14,77,15,1,120,D#,Pop
BILLIE EILISH.,Armani White,1,2022,1,2537,0,277132266,49,1,67,11,100,C#,Rap/Hip Hop
Ferxxo 100,Feid,1,2022,6,1647,30,278920007,20,49,23,2,164,G#,Rap/Hip Hop
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,2019,8,222410722,117,72,107,1,93,A#,African Music
Prohibidox,Feid,1,2022,9,1473,12,185392587,25,36,25,1,180,C#,Rap/Hip Hop
Static,Steve Lacy,1,2022,7,1613,0,202452860,21,15,13,0,79,C#,R&B
The Scientist,Coldplay,1,2002,8,30992,6,1608164312,124,25,7827,1,146,F,Rock
Sparks,Coldplay,1,2000,7,10826,4,624101957,24,0,805,0,103,C#,Rock
Talk,YEAT,1,2022,9,920,0,148461629,10,1,8,0,140,E,Alternative
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,308,0,47093942,6,1,6,0,92,A#,Rap/Hip Hop
Selfish,PnB Rock,1,2016,6,2468,0,380319238,15,0,0,0,102,C#,Pop
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,1097,2,209106362,18,10,13,1,118,B,Classical
Lady Mi Amor,Feid,1,2022,9,330,0,53987404,3,0,2,0,93,D,Rap/Hip Hop
Poland,Lil Yachty,1,2022,6,1584,0,115331792,38,0,24,0,150,F,Rap/Hip Hop
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,1585,5,225093344,78,65,328,1,130,D,Rock
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,766,0,84697729,16,0,9,0,83,D#,Rap/Hip Hop
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,836,0,159240673,14,1,13,0,102,A,Reggaeton
Nxde,(G)I-DLE,1,2022,10,430,6,170709584,14,116,9,0,136,E,Asian Music
Miss You,Southstar,1,1982,5,2020,0,154356956,77,10,119,0,145,A,Dance
we fell in love in october,girl in red,1,2018,11,6858,0,723043854,31,21,15,0,130,G,Alternative
2 Be Loved (Am I Ready),Lizzo,1,2022,7,3682,6,247689123,41,0,158,2,156,G,Pop
Celestial,Ed Sheeran,1,2022,9,1639,0,176474912,86,14,80,0,123,D,Pop
Typa Girl,BLACKPINK,1,2022,9,452,10,235549288,2,129,13,0,132,G,Pop
California Breeze,Lil Baby,1,2022,10,991,0,85559365,36,38,13,0,162,F,Rap/Hip Hop
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,648,4,187701588,0,0,30,0,161,A#,Brazilian Music
Major Distribution,"Drake, 21 Savage",2,2022,11,1545,0,154863153,22,7,15,0,131,G#,Rap/Hip Hop
Vigilante Shit,Taylor Swift,1,2022,10,1948,0,253650850,12,9,16,0,80,E,Pop
Question...?,Taylor Swift,1,2022,10,1608,0,223064273,10,3,12,0,109,G,Pop
On BS,"Drake, 21 Savage",2,2022,11,1338,0,170413877,9,20,7,0,158,A,Rap/Hip Hop
Mastermind,Taylor Swift,1,2022,10,1936,0,218320587,7,5,13,0,126,E,Pop
Circo Loco,"Drake, 21 Savage",2,2022,11,1794,0,141720999,26,9,17,0,104,C#,Rap/Hip Hop
Spin Bout U,"Drake, 21 Savage",2,2022,11,1652,2,198365537,26,52,10,0,130,G,Rap/Hip Hop
"Would've, Could've, Should've",Taylor Swift,1,2022,10,1715,0,177503916,4,5,8,0,158,G,Pop
Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,486,0,71095708,8,1,7,0,114,D,Films/Games
Privileged Rappers,"Drake, 21 Savage",2,2022,11,1007,0,112436403,6,5,3,0,144,F,Rap/Hip Hop
The Astronaut,Jin,1,2022,10,481,9,203436468,10,100,15,1,125,F,Asian Music
BackOutsideBoyz,Drake,1,2022,11,1045,0,93367537,8,5,2,0,142,F,Rap/Hip Hop
Broke Boys,"Drake, 21 Savage",2,2022,11,1060,0,106249219,3,8,5,0,120,D,Rap/Hip Hop
The Great War,Taylor Swift,1,2022,10,1274,0,181382590,1,6,11,0,96,F,Pop
My Mind & Me,Selena Gomez,1,2022,11,953,0,91473363,61,13,37,1,144,A,Pop
Bigger Than The Whole Sky,Taylor Swift,1,2022,10,1180,0,121871870,4,0,8,0,166,F#,Pop
A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,573,0,73513683,2,0,7,0,92,C#,Pop
En La De Ella,"Feid, Sech, Jhayco",3,2022,10,1320,0,133895612,29,26,17,0,97,C#,Rap/Hip Hop
Alone,Burna Boy,1,2022,11,782,2,96007391,27,18,32,1,90,E,Films/Games
